Emp;Nome;Area;DivBAt;DivCpDT;Kd;Qtobin
80;Eternit;Minerais não Met;9.9;69.8;75.9;0.875288846096874
81;Eucatex;Outros;11.2;73.5;25.3;0.517502643742618
82;Even;Construção;38.4;21.3;5.1;0.839997074474499
83;Evora;Outros;47.8;21.8;16.3;0.689223961797357
84;Excelsior;Alimentos e Beb;19.3;100;19.8;0.746548895899054
85;Eztec;Construção;6.6;38.4;11.7;1.75457552195509
86;Fab C Renaux;Textil;21.8;79.6;83.9;0.252446627345217
87;Fer Heringer;Química;40.2;99.7;37.8;0.413478265129815
88;Fibam;Siderur & Metalur;42.4;51.8;15.9;0.774329766575
89;Fibria;Papel e Celulose;38.3;10.6;16.5;0.710767924235758
90;Fleury;Outros;20.5;15.8;18;1.45440713997982
91;Forjas Taurus;Siderur & Metalur;53.2;34.1;29.5;0.697526482753273
92;Fras-Le;Veiculos e peças;45.7;47.1;17.5;0.84341755986012
93;Gafisa;Construção;43.2;29.6;7.7;0.487334464117163
94;Generalshopp;Outros;50.9;4.1;62;0.613569221275586
95;Ger Paranap;Energia Elétrica;22.8;36.4;18;1.66520824334972
96;Gerdau;Siderur & Metalur;27.6;17.6;8.1;0.805604537594091
97;Gerdau Met;Siderur & Metalur;29.9;24.4;8.6;0.729936936992979
98;Gol;Transporte Serviç;57.5;33.1;21;0.81921399324567
99;Gp Invest;Outros;10.2;2;2.7;0.585705315593172
100;GPC Part;Outros;40.2;55.9;20.7;0.475420735448839
101;Grendene;Textil;6;89.6;65.5;2.01555389333924
102;Guararapes;Textil;14.7;23.8;13.1;1.74032889127006
103;Habitasul;Outros;5.2;68.4;18.2;0.105615145240925
104;Haga S/A;Siderur & Metalur;129.3;37.6;6.9;1.41964990954723
105;Helbor;Construção;29.6;45.7;4.6;0.923143618458356
106;Hypermarcas;Outros;31.3;8.7;13.9;0.997488091307312
107;Ideiasnet;Outros;31.8;66.8;21.7;0.449647012123212
108;IGB S/A;Eletroeletrônicos;71.1;0;3.7;0.881764479277543
109;Iguacu Cafe;Alimentos e Beb;34;99;13.8;0.474581673926269
110;Iguatemi;Outros;41.9;12.1;12.8;1.36410638277026
111;Imc Holdings;Comércio;15.7;19.6;10;1.6060279133248
112;Inds Romi;Máquinas Indust;50.2;43.9;2.4;0.657358041819443
113;Inepar;Outros;38.5;56.9;27.6;0.383819122414601
114;Iochp-Maxion;Veiculos e peças;51.9;27.1;24.2;0.908981153495016
115;Itautec;Eletroeletrônicos;14.1;32.6;16.5;0.341661638694407
116;JBS;Alimentos e Beb;41.2;29.8;15.5;0.663341767325326
117;Jereissati;Outros;47.5;11.9;14.2;0.583052701299408
118;JHSF Part;Construção;50.7;8;11.8;1.46578141867048
119;Joao Fortes;Construção;43.6;69.5;2;0.752488379937455
